pin,bank,site,tile,pin_function
R13,0,IPAD_X0Y138,MONITOR_BOT_FUJI2_X61Y235,VP_0
T12,0,IPAD_X0Y139,MONITOR_BOT_FUJI2_X61Y235,VN_0
AC19,11,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_11
AG19,11,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_11
AH20,11,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_11
AH19,11,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_11
AJ19,11,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_11
AK19,11,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_11
AK20,11,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_11
AJ18,11,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_11
AK18,11,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_11
AJ16,11,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_11
AJ17,11,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_11
AF18,11,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_11
AG18,11,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_VREF_11
AK15,11,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_11
AK16,11,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_11
AH14,11,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_11
AH15,11,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_11
AG14,11,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_11
AG15,11,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_11
AJ14,11,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_11
AK14,11,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_11
AH16,11,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_11
AH17,11,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_11
AF17,11,IOB_X0Y26,LIOB33_X0Y25,IO_L12P_T1_MRCC_11
AG17,11,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_11
AF15,11,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_11
AF16,11,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_11
AE15,11,IOB_X0Y22,LIOB33_X0Y21,IO_L14P_T2_SRCC_11
AE16,11,IOB_X0Y21,LIOB33_X0Y21,IO_L14N_T2_SRCC_11
AC16,11,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_11
AD16,11,IOB_X0Y19,LIOB33_X0Y19,IO_L15N_T2_DQS_11
AB14,11,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_11
AB15,11,IOB_X0Y17,LIOB33_X0Y17,IO_L16N_T2_11
AC14,11,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_11
AC15,11,IOB_X0Y15,LIOB33_X0Y15,IO_L17N_T2_11
AD14,11,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_11
AE14,11,IOB_X0Y13,LIOB33_X0Y13,IO_L18N_T2_11
AE18,11,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_11
AE19,11,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_11
AD18,11,IOB_X0Y10,LIOB33_X0Y9,IO_L20P_T3_11
AD19,11,IOB_X0Y9,LIOB33_X0Y9,IO_L20N_T3_11
AC17,11,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_11
AD17,11,IOB_X0Y7,LIOB33_X0Y7,IO_L21N_T3_DQS_11
AB17,11,IOB_X0Y6,LIOB33_X0Y5,IO_L22P_T3_11
