pin,bank,site,tile,pin_function
A10,15,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_AD11N_15
A11,15,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_AD12P_15
A12,15,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_AD12N_15
A13,15,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_AD5P_15
A14,15,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_AD5N_15
A2,34,IOB_X1Y45,RIOB33_X31Y45,IO_L2N_T0_34
A3,34,IOB_X1Y47,RIOB33_X31Y47,IO_L1N_T0_34
A4,34,IOB_X1Y48,RIOB33_X31Y47,IO_L1P_T0_34
A5,15,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_AD2P_15
A6,15,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_AD2N_15
A7,15,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_AD1N_15
A8,15,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_15
A9,15,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_15
B1,34,IOB_X1Y41,RIOB33_X31Y41,IO_L4N_T0_34
B10,15,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_AD3N_15
B11,15,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_AD4P_15
B12,15,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_AD4N_15
B13,15,IOB_X0Y74,LIOB33_X0Y73,IO_L13P_T2_MRCC_15
B14,15,IOB_X0Y73,LIOB33_X0Y73,IO_L13N_T2_MRCC_15
B15,15,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_15
B2,34,IOB_X1Y46,RIOB33_X31Y45,IO_L2P_T0_34
B3,34,IOB_X1Y43,RIOB33_X31Y43,IO_L3N_T0_DQS_34
B4,34,IOB_X1Y44,RIOB33_X31Y43,IO_L3P_T0_DQS_34
B5,34,IOB_X1Y39,RIOB33_X31Y39,IO_L5N_T0_34
B6,15,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_AD1P_15
B9,15,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_AD11P_15
C1,34,IOB_X1Y42,RIOB33_X31Y41,IO_L4P_T0_34
C10,15,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_AD3P_15
C13,15,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_15
C14,15,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_15
C15,15,IOB_X0Y72,LIOB33_X0Y71,IO_L14P_T2_SRCC_15
C4,34,IOB_X1Y35,RIOB33_X31Y35,IO_L7N_T1_34
C5,34,IOB_X1Y40,RIOB33_X31Y39,IO_L5P_T0_34
C6,15,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_AD0P_15
C7,15,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_AD0N_15
C8,15,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_AD9P_15
C9,15,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_AD9N_15
D1,34,IOB_X1Y37,RIOB33_X31Y37,IO_L6N_T0_VREF_34
D10,15,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_AD10N_15
D11,15,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_15
D12,15,IOB_X0Y68,LIOB33_X0Y67,IO_L16P_T2_15
D13,15,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_15
D15,15,IOB_X0Y61,LIOB33_X0Y61,IO_L19N_T3_VREF_15
D2,34,IOB_X1Y38,RIOB33_X31Y37,IO_L6P_T0_34
D3,34,IOB_X1Y31,RIOB33_X31Y31,IO_L9N_T1_DQS_34
D4,34,IOB_X1Y36,RIOB33_X31Y35,IO_L7P_T1_34
D7,15,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_AD8P_15
D8,15,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_AD8N_15
D9,15,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_AD10P_15
E1,34,IOB_X1Y33,RIOB33_X31Y33,IO_L8N_T1_34
E11,15,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_15
E12,15,IOB_X0Y64,LIOB33_X0Y63,IO_L18P_T2_15
E13,15,IOB_X0Y63,LIOB33_X0Y63,IO_L18N_T2_15
