pin,bank,site,tile,pin_function
AA10,33,IOB_X1Y24,RIOB33_X53Y23,IO_L13P_T2_MRCC_33
AA17,13,IOB_X0Y6,LIOB33_X0Y5,IO_L22P_T3_13
AA18,13,IOB_X0Y5,LIOB33_X0Y5,IO_L22N_T3_13
AA19,13,IOB_X0Y24,LIOB33_X0Y23,IO_L13P_T2_MRCC_13
AA2,34,IOB_X1Y82,RIOB33_X53Y81,IO_L9P_T1_DQS_34
AA20,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AA22,14,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_D19_14
AA23,14,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_D18_14
AA24,14,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_D21_14
AA25,14,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_D20_14
AA3,34,IOB_X1Y53,RIOB33_X53Y53,IO_L23N_T3_34
AA4,34,IOB_X1Y54,RIOB33_X53Y53,IO_L23P_T3_34
AA5,34,IOB_X1Y59,RIOB33_X53Y59,IO_L20N_T3_34
AA7,34,IOB_X1Y51,RIOB33_X53Y51,IO_L24N_T3_34
AA8,33,IOB_X1Y32,RIOB33_X53Y31,IO_L9P_T1_DQS_33
AA9,33,IOB_X1Y14,RIOB33_X53Y13,IO_L18P_T2_33
AB1,34,IOB_X1Y81,RIOB33_X53Y81,IO_L9N_T1_DQS_34
AB10,33,IOB_X1Y23,RIOB33_X53Y23,IO_L13N_T2_MRCC_33
AB11,33,IOB_X1Y4,RIOB33_X53Y3,IO_L23P_T3_33
AB17,13,IOB_X0Y12,LIOB33_X0Y11,IO_L19P_T3_13
AB19,13,IOB_X0Y23,LIOB33_X0Y23,IO_L13N_T2_MRCC_13
AB2,34,IOB_X1Y86,RIOB33_X53Y85,IO_L7P_T1_34
AB20,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
AB21,13,IOB_X0Y28,LIOB33_X0Y27,IO_L11P_T1_SRCC_13
AB22,13,IOB_X0Y30,LIOB33_X0Y29,IO_L10P_T1_13
AB24,13,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_13
AB25,13,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_13
AB26,13,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_13
AB4,34,IOB_X1Y55,RIOB33_X53Y55,IO_L22N_T3_34
AB5,34,IOB_X1Y56,RIOB33_X53Y55,IO_L22P_T3_34
AB6,33,IOB_X1Y30,RIOB33_X53Y29,IO_L10P_T1_33
AB7,33,IOB_X1Y31,RIOB33_X53Y31,IO_L9N_T1_DQS_33
AB9,33,IOB_X1Y13,RIOB33_X53Y13,IO_L18N_T2_33
AC1,34,IOB_X1Y85,RIOB33_X53Y85,IO_L7N_T1_34
AC11,33,IOB_X1Y3,RIOB33_X53Y3,IO_L23N_T3_33
AC12,33,IOB_X1Y12,RIOB33_X53Y11,IO_L19P_T3_33
AC16,13,IOB_X0Y8,LIOB33_X0Y7,IO_L21P_T3_DQS_13
AC17,13,IOB_X0Y11,LIOB33_X0Y11,IO_L19N_T3_VREF_13
AC18,13,IOB_X0Y14,LIOB33_X0Y13,IO_L18P_T2_13
AC19,13,IOB_X0Y18,LIOB33_X0Y17,IO_L16P_T2_13
AC2,33,IOB_X1Y45,RIOB33_X53Y45,IO_L2N_T0_33
AC21,13,IOB_X0Y27,LIOB33_X0Y27,IO_L11N_T1_SRCC_13
AC22,13,IOB_X0Y29,LIOB33_X0Y29,IO_L10N_T1_13
AC23,13,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_13
AC24,13,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_13
AC26,13,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_13
AC3,33,IOB_X1Y46,RIOB33_X53Y45,IO_L2P_T0_33
AC4,33,IOB_X1Y40,RIOB33_X53Y39,IO_L5P_T0_33
AC6,33,IOB_X1Y29,RIOB33_X53Y29,IO_L10N_T1_33
AC7,33,IOB_X1Y27,RIOB33_X53Y27,IO_L11N_T1_SRCC_33
AC8,33,IOB_X1Y28,RIOB33_X53Y27,IO_L11P_T1_SRCC_33
