pin,bank,site,tile,pin_function
AA21,0,IPAD_X1Y78,MONITOR_BOT_X157Y131,VP_0
AB20,0,IPAD_X1Y79,MONITOR_BOT_X157Y131,VN_0
AR35,13,IOB_X0Y49,LIOB18_SING_X81Y51,IO_0_VRN_13
AY34,13,IOB_X0Y48,LIOB18_X81Y49,IO_L1P_T0_13
BA35,13,IOB_X0Y47,LIOB18_X81Y49,IO_L1N_T0_13
AV36,13,IOB_X0Y46,LIOB18_X81Y47,IO_L2P_T0_13
AW36,13,IOB_X0Y45,LIOB18_X81Y47,IO_L2N_T0_13
BA34,13,IOB_X0Y44,LIOB18_X81Y45,IO_L3P_T0_DQS_13
BB34,13,IOB_X0Y43,LIOB18_X81Y45,IO_L3N_T0_DQS_13
BA36,13,IOB_X0Y42,LIOB18_X81Y43,IO_L4P_T0_13
BB36,13,IOB_X0Y41,LIOB18_X81Y43,IO_L4N_T0_13
BB32,13,IOB_X0Y40,LIOB18_X81Y41,IO_L5P_T0_13
BB33,13,IOB_X0Y39,LIOB18_X81Y41,IO_L5N_T0_13
AW35,13,IOB_X0Y38,LIOB18_X81Y39,IO_L6P_T0_13
AY35,13,IOB_X0Y37,LIOB18_X81Y39,IO_L6N_T0_VREF_13
AT34,13,IOB_X0Y36,LIOB18_X81Y37,IO_L7P_T1_13
AU34,13,IOB_X0Y35,LIOB18_X81Y37,IO_L7N_T1_13
AT36,13,IOB_X0Y34,LIOB18_X81Y35,IO_L8P_T1_13
AU36,13,IOB_X0Y33,LIOB18_X81Y35,IO_L8N_T1_13
AT32,13,IOB_X0Y32,LIOB18_X81Y33,IO_L9P_T1_DQS_13
AU33,13,IOB_X0Y31,LIOB18_X81Y33,IO_L9N_T1_DQS_13
AR34,13,IOB_X0Y30,LIOB18_X81Y31,IO_L10P_T1_13
AT35,13,IOB_X0Y29,LIOB18_X81Y31,IO_L10N_T1_13
AU32,13,IOB_X0Y28,LIOB18_X81Y29,IO_L11P_T1_SRCC_13
AV33,13,IOB_X0Y27,LIOB18_X81Y29,IO_L11N_T1_SRCC_13
AW32,13,IOB_X0Y26,LIOB18_X81Y27,IO_L12P_T1_MRCC_13
AW33,13,IOB_X0Y25,LIOB18_X81Y27,IO_L12N_T1_MRCC_13
AV34,13,IOB_X0Y24,LIOB18_X81Y24,IO_L13P_T2_MRCC_13
AV35,13,IOB_X0Y23,LIOB18_X81Y24,IO_L13N_T2_MRCC_13
AY32,13,IOB_X0Y22,LIOB18_X81Y22,IO_L14P_T2_SRCC_13
AY33,13,IOB_X0Y21,LIOB18_X81Y22,IO_L14N_T2_SRCC_13
BA31,13,IOB_X0Y20,LIOB18_X81Y20,IO_L15P_T2_DQS_13
BA32,13,IOB_X0Y19,LIOB18_X81Y20,IO_L15N_T2_DQS_13
AW30,13,IOB_X0Y18,LIOB18_X81Y18,IO_L16P_T2_13
AY30,13,IOB_X0Y17,LIOB18_X81Y18,IO_L16N_T2_13
BA30,13,IOB_X0Y16,LIOB18_X81Y16,IO_L17P_T2_13
BB31,13,IOB_X0Y15,LIOB18_X81Y16,IO_L17N_T2_13
AV30,13,IOB_X0Y14,LIOB18_X81Y14,IO_L18P_T2_13
AW31,13,IOB_X0Y13,LIOB18_X81Y14,IO_L18N_T2_13
AR30,13,IOB_X0Y12,LIOB18_X81Y12,IO_L19P_T3_13
AT30,13,IOB_X0Y11,LIOB18_X81Y12,IO_L19N_T3_VREF_13
AU31,13,IOB_X0Y10,LIOB18_X81Y10,IO_L20P_T3_13
AV31,13,IOB_X0Y9,LIOB18_X81Y10,IO_L20N_T3_13
AN30,13,IOB_X0Y8,LIOB18_X81Y8,IO_L21P_T3_DQS_13
AP30,13,IOB_X0Y7,LIOB18_X81Y8,IO_L21N_T3_DQS_13
AP32,13,IOB_X0Y6,LIOB18_X81Y6,IO_L22P_T3_13
AR32,13,IOB_X0Y5,LIOB18_X81Y6,IO_L22N_T3_13
AN31,13,IOB_X0Y4,LIOB18_X81Y4,IO_L23P_T3_13
AP31,13,IOB_X0Y3,LIOB18_X81Y4,IO_L23N_T3_13
AP33,13,IOB_X0Y2,LIOB18_X81Y2,IO_L24P_T3_13
AR33,13,IOB_X0Y1,LIOB18_X81Y2,IO_L24N_T3_13
AT31,13,IOB_X0Y0,LIOB18_SING_X81Y1,IO_25_VRP_13
AH35,14,IOB_X0Y99,LIOB18_SING_X81Y103,IO_0_VRN_14
AM36,14,IOB_X0Y98,LIOB18_X81Y101,IO_L1P_T0_D00_MOSI_14
AN36,14,IOB_X0Y97,LIOB18_X81Y101,IO_L1N_T0_D01_DIN_14
AJ36,14,IOB_X0Y96,LIOB18_X81Y99,IO_L2P_T0_D02_14
AJ37,14,IOB_X0Y95,LIOB18_X81Y99,IO_L2N_T0_D03_14
AP36,14,IOB_X0Y94,LIOB18_X81Y97,IO_L3P_T0_DQS_PUDC_B_14
AP37,14,IOB_X0Y93,LIOB18_X81Y97,IO_L3N_T0_DQS_EMCCLK_14
AK37,14,IOB_X0Y92,LIOB18_X81Y95,IO_L4P_T0_D04_14
AL37,14,IOB_X0Y91,LIOB18_X81Y95,IO_L4N_T0_D05_14
AN35,14,IOB_X0Y90,LIOB18_X81Y93,IO_L5P_T0_D06_14
AP35,14,IOB_X0Y89,LIOB18_X81Y93,IO_L5N_T0_D07_14
AL36,14,IOB_X0Y88,LIOB18_X81Y91,IO_L6P_T0_FCS_B_14
AM37,14,IOB_X0Y87,LIOB18_X81Y91,IO_L6N_T0_D08_VREF_14
AG33,14,IOB_X0Y86,LIOB18_X81Y89,IO_L7P_T1_D09_14
AH33,14,IOB_X0Y85,LIOB18_X81Y89,IO_L7N_T1_D10_14
AK35,14,IOB_X0Y84,LIOB18_X81Y87,IO_L8P_T1_D11_14
AL35,14,IOB_X0Y83,LIOB18_X81Y87,IO_L8N_T1_D12_14
AH31,14,IOB_X0Y82,LIOB18_X81Y85,IO_L9P_T1_DQS_14
AJ31,14,IOB_X0Y81,LIOB18_X81Y85,IO_L9N_T1_DQS_D13_14
AH34,14,IOB_X0Y80,LIOB18_X81Y83,IO_L10P_T1_D14_14
AJ35,14,IOB_X0Y79,LIOB18_X81Y83,IO_L10N_T1_D15_14
