pin,bank,site,tile,pin_function
A2,34,IOB_X1Y251,RIOB18_X107Y251,IO_L24N_T3_34
A3,34,IOB_X1Y255,RIOB18_X107Y255,IO_L22N_T3_34
A4,34,IOB_X1Y256,RIOB18_X107Y255,IO_L22P_T3_34
A5,34,IOB_X1Y257,RIOB18_X107Y257,IO_L21N_T3_DQS_34
A7,34,IOB_X1Y263,RIOB18_X107Y263,IO_L18N_T2_34
A8,34,IOB_X1Y265,RIOB18_X107Y265,IO_L17N_T2_34
A9,34,IOB_X1Y266,RIOB18_X107Y265,IO_L17P_T2_34
A10,34,IOB_X1Y267,RIOB18_X107Y267,IO_L16N_T2_34
A12,35,IOB_X1Y301,RIOB18_X107Y301,IO_L24N_T3_AD15N_35
A13,35,IOB_X1Y302,RIOB18_X107Y301,IO_L24P_T3_AD15P_35
A14,35,IOB_X1Y307,RIOB18_X107Y307,IO_L21N_T3_DQS_AD14N_35
A15,35,IOB_X1Y308,RIOB18_X107Y307,IO_L21P_T3_DQS_AD14P_35
A17,35,IOB_X1Y313,RIOB18_X107Y313,IO_L18N_T2_AD13N_35
A18,501,IOPAD_X1Y126,PSS2_X32Y313,PS_MIO49_501
A19,501,IOPAD_X1Y130,PSS2_X32Y313,PS_MIO53_501
A20,501,IOPAD_X1Y129,PSS2_X32Y313,PS_MIO52_501
A22,501,IOPAD_X1Y134,PSS2_X32Y313,PS_SRST_B_501
A23,500,IOPAD_X1Y89,PSS2_X32Y313,PS_MIO12_500
A24,500,IOPAD_X1Y85,PSS2_X32Y313,PS_MIO8_500
A25,500,IOPAD_X1Y87,PSS2_X32Y313,PS_MIO10_500
AA1,112,OPAD_X0Y24,GTX_CHANNEL_0_X249Y162,MGTXTXN0_112
AA2,112,OPAD_X0Y25,GTX_CHANNEL_0_X249Y162,MGTXTXP0_112
AA5,111,IPAD_X1Y71,GTX_COMMON_X249Y127,MGTREFCLK1N_111
AA6,111,IPAD_X1Y70,GTX_COMMON_X249Y127,MGTREFCLK1P_111
AB3,112,IPAD_X1Y90,GTX_CHANNEL_0_X249Y162,MGTXRXN0_112
AB4,112,IPAD_X1Y91,GTX_CHANNEL_0_X249Y162,MGTXRXP0_112
AC1,111,OPAD_X0Y22,GTX_CHANNEL_3_X249Y150,MGTXTXN3_111
AC2,111,OPAD_X0Y23,GTX_CHANNEL_3_X249Y150,MGTXTXP3_111
AC5,111,IPAD_X1Y78,GTX_CHANNEL_2_X249Y139,MGTXRXN2_111
AC6,111,IPAD_X1Y79,GTX_CHANNEL_2_X249Y139,MGTXRXP2_111
AD3,111,IPAD_X1Y84,GTX_CHANNEL_3_X249Y150,MGTXRXN3_111
AD4,111,IPAD_X1Y85,GTX_CHANNEL_3_X249Y150,MGTXRXP3_111
AD7,111,IPAD_X1Y60,GTX_CHANNEL_0_X249Y110,MGTXRXN0_111
AD8,111,IPAD_X1Y61,GTX_CHANNEL_0_X249Y110,MGTXRXP0_111
AE1,111,OPAD_X0Y20,GTX_CHANNEL_2_X249Y139,MGTXTXN2_111
AE2,111,OPAD_X0Y21,GTX_CHANNEL_2_X249Y139,MGTXTXP2_111
AE5,111,IPAD_X1Y66,GTX_CHANNEL_1_X249Y121,MGTXRXN1_111
AE6,111,IPAD_X1Y67,GTX_CHANNEL_1_X249Y121,MGTXRXP1_111
AF3,111,OPAD_X0Y18,GTX_CHANNEL_1_X249Y121,MGTXTXN1_111
AF4,111,OPAD_X0Y19,GTX_CHANNEL_1_X249Y121,MGTXTXP1_111
AF7,111,OPAD_X0Y16,GTX_CHANNEL_0_X249Y110,MGTXTXN0_111
AF8,111,OPAD_X0Y17,GTX_CHANNEL_0_X249Y110,MGTXTXP0_111
