pin,bank,site,tile,pin_function
A2,33,IOB_X1Y231,RIOB18_X139Y231,IO_L9N_T1_DQS_33
A3,33,IOB_X1Y232,RIOB18_X139Y231,IO_L9P_T1_DQS_33
A4,33,IOB_X1Y229,RIOB18_X139Y229,IO_L10N_T1_33
A5,33,IOB_X1Y233,RIOB18_X139Y233,IO_L8N_T1_33
A7,34,IOB_X1Y267,RIOB18_X139Y267,IO_L16N_T2_34
A8,34,IOB_X1Y268,RIOB18_X139Y267,IO_L16P_T2_34
A9,34,IOB_X1Y281,RIOB18_X139Y281,IO_L9N_T1_DQS_34
A10,34,IOB_X1Y285,RIOB18_X139Y285,IO_L7N_T1_34
A12,35,IOB_X1Y315,RIOB18_X139Y315,IO_L17N_T2_AD5N_35
A13,35,IOB_X1Y316,RIOB18_X139Y315,IO_L17P_T2_AD5P_35
A14,35,IOB_X1Y319,RIOB18_X139Y319,IO_L15N_T2_DQS_AD12N_35
A15,35,IOB_X1Y317,RIOB18_X139Y317,IO_L16N_T2_35
A17,35,IOB_X1Y335,RIOB18_X139Y335,IO_L7N_T1_AD2N_35
A18,35,IOB_X1Y336,RIOB18_X139Y335,IO_L7P_T1_AD2P_35
A19,501,IOPAD_X1Y99,PSS2_X32Y313,PS_MIO22_501
A20,501,IOPAD_X1Y113,PSS2_X32Y313,PS_MIO36_501
A22,501,IOPAD_X1Y118,PSS2_X32Y313,PS_MIO41_501
A23,501,IOPAD_X1Y121,PSS2_X32Y313,PS_MIO44_501
A24,501,IOPAD_X1Y128,PSS2_X32Y313,PS_MIO51_501
A25,500,IOPAD_X1Y91,PSS2_X32Y313,PS_MIO14_500
A27,500,IOPAD_X1Y90,PSS2_X32Y313,PS_MIO13_500
A28,502,IOPAD_X1Y32,PSS2_X32Y313,PS_DDR_DQ0_502
A29,502,IOPAD_X1Y34,PSS2_X32Y313,PS_DDR_DQ2_502
A30,502,IOPAD_X1Y36,PSS2_X32Y313,PS_DDR_DQ4_502
A32,502,IOPAD_X1Y43,PSS2_X32Y313,PS_DDR_DQ11_502
A33,502,IOPAD_X1Y40,PSS2_X32Y313,PS_DDR_DQ8_502
A34,502,IOPAD_X1Y42,PSS2_X32Y313,PS_DDR_DQ10_502
AA3,111,OPAD_X0Y20,GTX_CHANNEL_2_X335Y139,MGTXTXN2_111
AA4,111,OPAD_X0Y21,GTX_CHANNEL_2_X335Y139,MGTXTXP2_111
AA27,12,IOB_X0Y165,LIOB33_X0Y165,IO_L17N_T2_12
AA28,12,IOB_X0Y169,LIOB33_X0Y169,IO_L15N_T2_DQS_12
AA29,12,IOB_X0Y172,LIOB33_X0Y171,IO_L14P_T2_SRCC_12
AA30,12,IOB_X0Y174,LIOB33_X0Y173,IO_L13P_T2_MRCC_12
AA32,12,IOB_X0Y187,LIOB33_X0Y187,IO_L6N_T0_VREF_12
AA33,12,IOB_X0Y191,LIOB33_X0Y191,IO_L4N_T0_12
AA34,12,IOB_X0Y196,LIOB33_X0Y195,IO_L2P_T0_12
AB1,111,OPAD_X0Y18,GTX_CHANNEL_1_X335Y121,MGTXTXN1_111
AB2,111,OPAD_X0Y19,GTX_CHANNEL_1_X335Y121,MGTXTXP1_111
AB5,111,IPAD_X1Y78,GTX_CHANNEL_2_X335Y139,MGTXRXN2_111
AB6,111,IPAD_X1Y79,GTX_CHANNEL_2_X335Y139,MGTXRXP2_111
AB26,12,IOB_X0Y164,LIOB33_X0Y163,IO_L18P_T2_12
AB27,12,IOB_X0Y163,LIOB33_X0Y163,IO_L18N_T2_12
AB29,12,IOB_X0Y171,LIOB33_X0Y171,IO_L14N_T2_SRCC_12
AB30,12,IOB_X0Y173,LIOB33_X0Y173,IO_L13N_T2_MRCC_12
AB31,12,IOB_X0Y194,LIOB33_X0Y193,IO_L3P_T0_DQS_12
AB32,12,IOB_X0Y193,LIOB33_X0Y193,IO_L3N_T0_DQS_12
AB34,12,IOB_X0Y195,LIOB33_X0Y195,IO_L2N_T0_12
AC3,111,IPAD_X1Y66,GTX_CHANNEL_1_X335Y121,MGTXRXN1_111
AC4,111,IPAD_X1Y67,GTX_CHANNEL_1_X335Y121,MGTXRXP1_111
AC7,111,IPAD_X1Y71,GTX_COMMON_X335Y127,MGTREFCLK1N_111
AC8,111,IPAD_X1Y70,GTX_COMMON_X335Y127,MGTREFCLK1P_111
AC26,12,IOB_X0Y154,LIOB33_X0Y153,IO_L23P_T3_12
AC27,12,IOB_X0Y153,LIOB33_X0Y153,IO_L23N_T3_12
AC28,12,IOB_X0Y158,LIOB33_X0Y157,IO_L21P_T3_DQS_12
AC29,12,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_12
AC31,12,IOB_X0Y176,LIOB33_X0Y175,IO_L12P_T1_MRCC_12
AC32,12,IOB_X0Y175,LIOB33_X0Y175,IO_L12N_T1_MRCC_12
AC33,12,IOB_X0Y184,LIOB33_X0Y183,IO_L8P_T1_12
AC34,12,IOB_X0Y183,LIOB33_X0Y183,IO_L8N_T1_12
AD1,111,OPAD_X0Y16,GTX_CHANNEL_0_X335Y110,MGTXTXN0_111
AD2,111,OPAD_X0Y17,GTX_CHANNEL_0_X335Y110,MGTXTXP0_111
AD5,111,IPAD_X1Y60,GTX_CHANNEL_0_X335Y110,MGTXRXN0_111
AD6,111,IPAD_X1Y61,GTX_CHANNEL_0_X335Y110,MGTXRXP0_111
AD26,12,IOB_X0Y156,LIOB33_X0Y155,IO_L22P_T3_12
AD28,12,IOB_X0Y160,LIOB33_X0Y159,IO_L20P_T3_12
AD29,12,IOB_X0Y162,LIOB33_X0Y161,IO_L19P_T3_12
AD30,12,IOB_X0Y178,LIOB33_X0Y177,IO_L11P_T1_SRCC_12
AD31,12,IOB_X0Y177,LIOB33_X0Y177,IO_L11N_T1_SRCC_12
AD33,12,IOB_X0Y180,LIOB33_X0Y179,IO_L10P_T1_12
AD34,12,IOB_X0Y179,LIOB33_X0Y179,IO_L10N_T1_12
AE3,110,OPAD_X0Y14,GTX_CHANNEL_3_X335Y98,MGTXTXN3_110
AE4,110,OPAD_X0Y15,GTX_CHANNEL_3_X335Y98,MGTXTXP3_110
AE7,110,IPAD_X1Y39,GTX_COMMON_X335Y75,MGTREFCLK0N_110
AE8,110,IPAD_X1Y38,GTX_COMMON_X335Y75,MGTREFCLK0P_110
AE25,12,IOB_X0Y152,LIOB33_X0Y151,IO_L24P_T3_12
AE26,12,IOB_X0Y151,LIOB33_X0Y151,IO_L24N_T3_12
